USDB,sampling_date,sampling_year,contaminant,measval,measval_num_calc,measval_cen_calc
163,1999-06-01,1999,DDEPP,329,329,FALSE
162,1999-06-14,1999,DDEPP,1146,1146,FALSE
161,1999-06-11,1999,DDEPP,444,444,FALSE
160,1999-06-09,1999,DDEPP,459,459,FALSE
159,1999-06-11,1999,DDEPP,671,671,FALSE
158,1999-06-09,1999,DDEPP,638,638,FALSE
154,1999-06-05,1999,DDEPP,594,594,FALSE
157,1999-06-09,1999,DDEPP,538,538,FALSE
165,1999-06-01,1999,DDEPP,245,245,FALSE
493,1999-06-16,1999,DDEPP,570,570,FALSE
494,1999-06-15,1999,DDEPP,687,687,FALSE
169,1999-06-01,1999,DDEPP,331,331,FALSE
168,1999-06-01,1999,DDEPP,323,323,FALSE
167,1999-06-01,1999,DDEPP,501,501,FALSE
166,1999-06-01,1999,DDEPP,319,319,FALSE
156,1999-06-06,1999,DDEPP,534,534,FALSE
155,1999-06-09,1999,DDEPP,399,399,FALSE
164,1999-06-01,1999,DDEPP,523,523,FALSE
492,2000-06-01,2000,DDEPP,242,242,FALSE
489,2000-06-01,2000,DDEPP,229,229,FALSE
488,2000-06-01,2000,DDEPP,252,252,FALSE
487,2000-06-01,2000,DDEPP,313,313,FALSE
486,2000-06-01,2000,DDEPP,240,240,FALSE
485,2000-06-01,2000,DDEPP,482,482,FALSE
484,2000-06-01,2000,DDEPP,218,218,FALSE
483,2000-06-01,2000,DDEPP,704,704,FALSE
173,2000-06-01,2000,DDEPP,455,455,FALSE
174,2000-06-01,2000,DDEPP,345,345,FALSE
175,2000-06-01,2000,DDEPP,280,280,FALSE
176,2000-06-01,2000,DDEPP,330,330,FALSE
177,2000-06-01,2000,DDEPP,451,451,FALSE
178,2000-06-01,2000,DDEPP,820,820,FALSE
179,2000-06-01,2000,DDEPP,490,490,FALSE
170,2000-06-01,2000,DDEPP,235,235,FALSE
171,2000-06-01,2000,DDEPP,321,321,FALSE
172,2000-06-01,2000,DDEPP,376,376,FALSE
490,2000-06-01,2000,DDEPP,464,464,FALSE
191,2001-06-01,2001,DDEPP,613,613,FALSE
192,2001-06-01,2001,DDEPP,593,593,FALSE
193,2001-06-01,2001,DDEPP,524,524,FALSE
194,2001-06-01,2001,DDEPP,424,424,FALSE
195,2001-06-01,2001,DDEPP,676,676,FALSE
196,2001-06-01,2001,DDEPP,467,467,FALSE
197,2001-06-01,2001,DDEPP,892,892,FALSE
198,2001-06-01,2001,DDEPP,607,607,FALSE
199,2001-06-01,2001,DDEPP,900,900,FALSE
186,2001-06-01,2001,DDEPP,219,219,FALSE
185,2001-06-01,2001,DDEPP,443,443,FALSE
184,2001-06-01,2001,DDEPP,635,635,FALSE
183,2001-06-01,2001,DDEPP,461,461,FALSE
182,2001-06-01,2001,DDEPP,402,402,FALSE
181,2001-06-01,2001,DDEPP,275,275,FALSE
180,2001-06-01,2001,DDEPP,345,345,FALSE
187,2001-06-01,2001,DDEPP,603,603,FALSE
188,2001-06-01,2001,DDEPP,357,357,FALSE
